"n.missing"	"n.rows"
"dbo_R_RIALtO_Demographics_DEMCLLSite.CRFPageId"	0	502
"dbo_R_RIALtO_Demographics_DEMCLLSite.CRFPageCycleNumber"	0	502
"dbo_R_RIALtO_Demographics_DEMCLLSite.OwnerQGroupID"	0	502
"dbo_R_RIALtO_Demographics_DEMCLLSite.RepeatNumber"	0	502
"dbo_R_RIALtO_Demographics_DEMCLLSite.DemCLLSiteSpec"	423	502
"dbo_R_RIALtO_Demographics_DEMCLLSite.DemCLLSiteSize"	471	502
"dbo_R_RIALtO_Demographics_DEMLymph.ClinicalTrialId"	0	1467
"dbo_R_RIALtO_Demographics_DEMLymph.Site"	0	1467
"dbo_R_RIALtO_Demographics_DEMLymph.PersonId"	0	1467
"dbo_R_RIALtO_Demographics_DEMLymph.VisitId"	0	1467
"dbo_R_RIALtO_Demographics_DEMLymph.VisitCycleNumber"	0	1467
"dbo_R_RIALtO_Demographics_DEMLymph.CRFPageId"	0	1467
"dbo_R_RIALtO_Demographics_DEMLymph.CRFPageCycleNumber"	0	1467
"dbo_R_RIALtO_Demographics_DEMLymph.OwnerQGroupID"	0	1467
"dbo_R_RIALtO_Demographics_DEMLymph.RepeatNumber"	0	1467
"dbo_R_RIALtO_Demographics_DEMLymph.DEMLymphSite"	0	1467
"dbo_R_RIALtO_Demographics_DEMLymph.DEMLymphNormal"	6	1467
"dbo_R_RIALtO_Demographics_DEMLymph.DEMLymphSize"	953	1467
"dbo_R_RIALtO_Demographics.ClinicalTrialId"	0	489
"dbo_R_RIALtO_Demographics.Site"	0	489
"dbo_R_RIALtO_Demographics.PersonId"	0	489
"dbo_R_RIALtO_Demographics.VisitId"	0	489
"dbo_R_RIALtO_Demographics.VisitCycleNumber"	0	489
"dbo_R_RIALtO_Demographics.CRFPageId"	0	489
"dbo_R_RIALtO_Demographics.CRFPageCycleNumber"	0	489
"dbo_R_RIALtO_Demographics.ScreenNo"	0	489
"dbo_R_RIALtO_Demographics.PatInitials"	0	489
"dbo_R_RIALtO_Demographics.NHSNo"	31	489
"dbo_R_RIALtO_Demographics.DEMDate"	0	489
"dbo_R_RIALtO_Demographics.DEMHeight"	3	489
"dbo_R_RIALtO_Demographics.DEMWeight"	2	489
"dbo_R_RIALtO_Demographics.DEMCLLDiagDt"	4	489
"dbo_R_RIALtO_Demographics.DEMBodySArea"	7	489
"dbo_R_RIALtO_Demographics.symp_fever"	1	489
"dbo_R_RIALtO_Demographics.symp_wghtloss"	1	489
"dbo_R_RIALtO_Demographics.symp_sweat"	0	489
"dbo_R_RIALtO_Demographics.WHOStatus"	0	489
"dbo_R_RIALtO_Demographics.DEMDate2"	1	489
"dbo_R_RIALtO_Demographics.DEMLiverEnlrg"	1	489
"dbo_R_RIALtO_Demographics.DemLiverSize"	420	489
"dbo_R_RIALtO_Demographics.DEMSpleenEnlrg"	2	489
"dbo_R_RIALtO_Demographics.DemSpleenSize"	296	489
"dbo_R_RIALtO_Demographics.DEMOtherCLLSite"	1	489
"dbo_R_RIALtO_Demographics.CompBy"	2	489
"dbo_R_RIALtO_Demographics.CompSigned"	2	489
"dbo_R_RIALtO_Demographics.CompDate"	2	489
"dbo_R_RIALtO_Demographics2.ClinicalTrialId"	0	3057
"dbo_R_RIALtO_Demographics2.Site"	0	3057
"dbo_R_RIALtO_Demographics2.PersonId"	0	3057
"dbo_R_RIALtO_Demographics2.VisitId"	0	3057
"dbo_R_RIALtO_Demographics2.VisitCycleNumber"	0	3057
"dbo_R_RIALtO_Demographics2.CRFPageId"	0	3057
"dbo_R_RIALtO_Demographics2.CRFPageCycleNumber"	0	3057
"dbo_R_RIALtO_Demographics2.HospitalSite"	18	3057
"dbo_R_RIALtO_Demographics2.PatientNo"	18	3057
"dbo_R_RIALtO_Demographics2.PatInitials"	18	3057
"dbo_R_RIALtO_Demographics2.VisitMonth"	2779	3057
"dbo_R_RIALtO_Demographics2.DEMDate"	61	3057
"dbo_R_RIALtO_Demographics2.DEMWeight"	681	3057
"dbo_R_RIALtO_Demographics2.DEMWghtChng"	825	3057
"dbo_R_RIALtO_Demographics2.TRTDiaryCollect"	2841	3057
"dbo_R_RIALtO_Demographics2.DEMBodySArea"	2964	3057
"dbo_R_RIALtO_Demographics2.CTTakenQ"	461	3057
"dbo_R_RIALtO_Demographics2.CTTakenSup"	475	3057
"dbo_R_RIALtO_Demographics2.TRTAE"	80	3057
"dbo_R_RIALtO_Demographics2.CompBy"	46	3057
"dbo_R_RIALtO_Demographics2.CompSigned"	48	3057
"dbo_R_RIALtO_Demographics2.CompDate"	47	3057
"dbo_R_RIALtO_Demographics3_DEMCLLSite.ClinicalTrialId"	0	1890
"dbo_R_RIALtO_Demographics3_DEMCLLSite.Site"	0	1890
"dbo_R_RIALtO_Demographics3_DEMCLLSite.PersonId"	0	1890
"dbo_R_RIALtO_Demographics3_DEMCLLSite.VisitId"	0	1890
"dbo_R_RIALtO_Demographics3_DEMCLLSite.VisitCycleNumber"	0	1890
"dbo_R_RIALtO_Demographics3_DEMCLLSite.CRFPageId"	0	1890
"dbo_R_RIALtO_Demographics3_DEMCLLSite.CRFPageCycleNumber"	0	1890
"dbo_R_RIALtO_Demographics3_DEMCLLSite.OwnerQGroupID"	0	1890
"dbo_R_RIALtO_Demographics3_DEMCLLSite.RepeatNumber"	0	1890
"dbo_R_RIALtO_Demographics3_DEMCLLSite.DemCLLSiteSpec"	1862	1890
"dbo_R_RIALtO_Demographics3_DEMCLLSite.DemCLLSiteSize"	1879	1890
"dbo_R_RIALtO_Demographics3_DEMLymph.ClinicalTrialId"	0	5649
"dbo_R_RIALtO_Demographics3_DEMLymph.Site"	0	5649
"dbo_R_RIALtO_Demographics3_DEMLymph.PersonId"	0	5649
"dbo_R_RIALtO_Demographics3_DEMLymph.VisitId"	0	5649
"dbo_R_RIALtO_Demographics3_DEMLymph.VisitCycleNumber"	0	5649
"dbo_R_RIALtO_Demographics3_DEMLymph.CRFPageId"	0	5649
"dbo_R_RIALtO_Demographics3_DEMLymph.CRFPageCycleNumber"	0	5649
"dbo_R_RIALtO_Demographics3_DEMLymph.OwnerQGroupID"	0	5649
"dbo_R_RIALtO_Demographics3_DEMLymph.RepeatNumber"	0	5649
"dbo_R_RIALtO_Demographics3_DEMLymph.DEMLymphSite"	165	5649
"dbo_R_RIALtO_Demographics3_DEMLymph.DEMLymphNormal"	1198	5649
"dbo_R_RIALtO_Demographics3_DEMLymph.DEMLymphSize"	5429	5649
"dbo_R_RIALtO_Demographics3.ClinicalTrialId"	0	1883
"dbo_R_RIALtO_Demographics3.Site"	0	1883
"dbo_R_RIALtO_Demographics3.PersonId"	0	1883
"dbo_R_RIALtO_Demographics3.VisitId"	0	1883
"dbo_R_RIALtO_Demographics3.VisitCycleNumber"	0	1883
"dbo_R_RIALtO_Demographics3.CRFPageId"	0	1883
"dbo_R_RIALtO_Demographics3.CRFPageCycleNumber"	0	1883
"dbo_R_RIALtO_Demographics3.ScreenNo"	55	1883
"dbo_R_RIALtO_Demographics3.HospitalSite"	55	1883
"dbo_R_RIALtO_Demographics3.PatientNo"	55	1883
"dbo_R_RIALtO_Demographics3.PatInitials"	55	1883
"dbo_R_RIALtO_Demographics3.DEMDate"	291	1883
"dbo_R_RIALtO_Demographics3.FollowUpMonth"	1876	1883
"dbo_R_RIALtO_Demographics3.FUweek"	1447	1883
"dbo_R_RIALtO_Demographics3.DEMWeight"	1393	1883
"dbo_R_RIALtO_Demographics3.symp_fever"	325	1883
"dbo_R_RIALtO_Demographics3.symp_wghtloss"	321	1883
"dbo_R_RIALtO_Demographics3.symp_sweat"	325	1883
"dbo_R_RIALtO_Demographics3.WHOStatus"	948	1883
"dbo_R_RIALtO_Demographics3.DEMDate2"	380	1883
"dbo_R_RIALtO_Demographics3.DEMLiverEnlrg"	418	1883
"dbo_R_RIALtO_Demographics3.DemLiverSize"	1854	1883
"dbo_R_RIALtO_Demographics3.DEMSpleenEnlrg"	414	1883
"dbo_R_RIALtO_Demographics3.DemSpleenSize"	1796	1883
"dbo_R_RIALtO_Demographics3.DEMOtherCLLSite"	443	1883
"dbo_R_RIALtO_Demographics3.CompBy"	298	1883
"dbo_R_RIALtO_Demographics3.CompSigned"	295	1883
"dbo_R_RIALtO_Demographics3.CompDate"	297	1883
"dbo_R_RIALtO_EndOfTreatment.ClinicalTrialId"	0	573
"dbo_R_RIALtO_EndOfTreatment.Site"	0	573
"dbo_R_RIALtO_EndOfTreatment.PersonId"	0	573
"dbo_R_RIALtO_EndOfTreatment.VisitId"	0	573
"dbo_R_RIALtO_EndOfTreatment.VisitCycleNumber"	0	573
"dbo_R_RIALtO_EndOfTreatment.CRFPageId"	0	573
"dbo_R_RIALtO_EndOfTreatment.CRFPageCycleNumber"	0	573
"dbo_R_RIALtO_EndOfTreatment.HospitalSite"	0	573
"dbo_R_RIALtO_EndOfTreatment.PatientNo"	0	573
"dbo_R_RIALtO_EndOfTreatment.PatInitials"	0	573
"dbo_R_RIALtO_EndOfTreatment.TRSComWdrawDt"	23	573
"dbo_R_RIALtO_EndOfTreatment.TRSTrtComplete"	148	573
"dbo_R_RIALtO_EndOfTreatment.Last_cycle_stg"	88	573
"dbo_R_RIALtO_EndOfTreatment.TRSWdrawRsn"	53	573
"dbo_R_RIALtO_EndOfTreatment.TRSWdrawRsnTox"	563	573
"dbo_R_RIALtO_EndOfTreatment.TRSWdrawAENo"	563	573
"dbo_R_RIALtO_EndOfTreatment.TRSWdrawRsnTAE"	498	573
"dbo_R_RIALtO_EndOfTreatment.TRSWdrawTAENo"	511	573
"dbo_R_RIALtO_EndOfTreatment.TRSWdrawRsnNTAE"	560	573
"dbo_R_RIALtO_EndOfTreatment.TRSWdrawNTAENo"	569	573
"dbo_R_RIALtO_EndOfTreatment.TRSWdrawRsnOthr"	492	573
"dbo_R_RIALtO_EndOfTreatment.CTTakenQ"	83	573
"dbo_R_RIALtO_EndOfTreatment.IdelaMtce"	495	573
"dbo_R_RIALtO_EndOfTreatment.IdelaFU"	457	573
"dbo_R_RIALtO_EndOfTreatment.CompBy"	70	573
"dbo_R_RIALtO_EndOfTreatment.CompSigned"	70	573
"dbo_R_RIALtO_EndOfTreatment.CompDate"	70	573
"dbo_R_RIALtO_EndStudy.ClinicalTrialId"	0	134
"dbo_R_RIALtO_EndStudy.Site"	0	134
"dbo_R_RIALtO_EndStudy.PersonId"	0	134
"dbo_R_RIALtO_EndStudy.VisitId"	0	134
"dbo_R_RIALtO_EndStudy.VisitCycleNumber"	0	134
"dbo_R_RIALtO_EndStudy.CRFPageId"	0	134
"dbo_R_RIALtO_EndStudy.CRFPageCycleNumber"	0	134
"dbo_R_RIALtO_EndStudy.HospitalSite"	0	134
"dbo_R_RIALtO_EndStudy.PatientNo"	0	134
"dbo_R_RIALtO_EndStudy.PatInitials"	0	134
"dbo_R_RIALtO_EndStudy.EOSDate"	8	134
"dbo_R_RIALtO_EndStudy.EOSTimepoint"	8	134
"dbo_R_RIALtO_EndStudy.TRTCycleNo"	92	134
"dbo_R_RIALtO_EndStudy.TRTMonths"	8	134
"dbo_R_RIALtO_EndStudy.EOSReason"	8	134
"dbo_R_RIALtO_EndStudy.EOSReasonOther"	95	134
"dbo_R_RIALtO_EndStudy.CompBy"	8	134
"dbo_R_RIALtO_EndStudy.CompSigned"	8	134
"dbo_R_RIALtO_EndStudy.CompDate"	8	134
"dbo_R_RIALtO_ExclusionCrit_ELIExcCrtqg.ClinicalTrialId"	0	14297
"dbo_R_RIALtO_ExclusionCrit_ELIExcCrtqg.Site"	0	14297
"dbo_R_RIALtO_ExclusionCrit_ELIExcCrtqg.PersonId"	0	14297
"dbo_R_RIALtO_ExclusionCrit_ELIExcCrtqg.VisitId"	0	14297
"dbo_R_RIALtO_ExclusionCrit_ELIExcCrtqg.VisitCycleNumber"	0	14297
"dbo_R_RIALtO_ExclusionCrit_ELIExcCrtqg.CRFPageId"	0	14297
"dbo_R_RIALtO_ExclusionCrit_ELIExcCrtqg.CRFPageCycleNumber"	0	14297
"dbo_R_RIALtO_ExclusionCrit_ELIExcCrtqg.OwnerQGroupID"	0	14297
"dbo_R_RIALtO_ExclusionCrit_ELIExcCrtqg.RepeatNumber"	0	14297
"dbo_R_RIALtO_ExclusionCrit_ELIExcCrtqg.ELIExcNo"	2155	14297
"dbo_R_RIALtO_ExclusionCrit_ELIExcCrtqg.ELIExcQ"	2155	14297
"dbo_R_RIALtO_ExclusionCrit_ELIExcCrtqg.ELIExcAns"	2169	14297
"dbo_R_RIALtO_ExclusionCrit.ClinicalTrialId"	0	493
"dbo_R_RIALtO_ExclusionCrit.Site"	0	493
"dbo_R_RIALtO_ExclusionCrit.PersonId"	0	493
"dbo_R_RIALtO_ExclusionCrit.VisitId"	0	493
"dbo_R_RIALtO_ExclusionCrit.VisitCycleNumber"	0	493
"dbo_R_RIALtO_ExclusionCrit.CRFPageId"	0	493
"dbo_R_RIALtO_ExclusionCrit.CRFPageCycleNumber"	0	493
"dbo_R_RIALtO_ExclusionCrit.ScreenNo"	0	493
"dbo_R_RIALtO_ExclusionCrit.PatInitials"	0	493
"dbo_R_RIALtO_ExclusionCrit.ELIPatEligible"	0	493
"dbo_R_RIALtO_ExclusionCrit.INVName"	0	493
"dbo_R_RIALtO_ExclusionCrit.INVSign"	0	493
"dbo_R_RIALtO_ExclusionCrit.INVSignDate"	1	493
"dbo_R_RIALtO_ExclusionCrit.CompBy"	0	493
"dbo_R_RIALtO_ExclusionCrit.CompSigned"	0	493
"dbo_R_RIALtO_ExclusionCrit.CompDate"	0	493
"dbo_R_RIALtO_ExclusionCrit.EligChkTemp"	0	493
"dbo_R_RIALtO_frmQOL_eortc.ClinicalTrialId"	0	2992
"dbo_R_RIALtO_frmQOL_eortc.Site"	0	2992
"dbo_R_RIALtO_frmQOL_eortc.PersonId"	0	2992
"dbo_R_RIALtO_frmQOL_eortc.VisitId"	0	2992
"dbo_R_RIALtO_frmQOL_eortc.VisitCycleNumber"	0	2992
"dbo_R_RIALtO_frmQOL_eortc.CRFPageId"	0	2992
"dbo_R_RIALtO_frmQOL_eortc.CRFPageCycleNumber"	0	2992
"dbo_R_RIALtO_frmQOL_eortc.HospitalSite"	4	2992
"dbo_R_RIALtO_frmQOL_eortc.PatientNo"	4	2992
"dbo_R_RIALtO_frmQOL_eortc.PatInitials"	4	2992
"dbo_R_RIALtO_frmQOL_eortc.FUweek"	2673	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Initials"	230	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Birthdate"	279	2992
"dbo_R_RIALtO_frmQOL_eortc.QOL_EORTC_Dt"	292	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Strenuous"	108	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Long_walk"	119	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Short_walk"	120	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Bedridden"	120	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Help_eating"	102	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Limited_act"	110	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Limited_hob"	109	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Short_brth"	102	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Pain"	102	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Need_rest"	102	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Trble_sleep"	99	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Felt_weak"	102	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Lacked_app"	101	2992
"dbo_R_RIALtO_frmQOL_eortc.Ql30Nauseated"	95	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Vomited"	101	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Constipated"	98	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Diarrhea"	140	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Tired"	154	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Pain_intrfr"	165	2992
"dbo_R_RIALtO_frmQOL_eortc.Ql30Concentrt"	147	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Tense"	150	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Worry"	149	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Irritable"	153	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Depressed"	170	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Remember"	161	2992
"dbo_R_RIALtO_frmQOL_eortc.Ql30Family_life"	157	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Social_act"	163	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30Finances"	147	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30OverallHlth"	153	2992
"dbo_R_RIALtO_frmQOL_eortc.QL30QoL"	150	2992
"dbo_R_RIALtO_frmQOL_eq5d.ClinicalTrialId"	0	2990
"dbo_R_RIALtO_frmQOL_eq5d.Site"	0	2990
"dbo_R_RIALtO_frmQOL_eq5d.PersonId"	0	2990
"dbo_R_RIALtO_frmQOL_eq5d.VisitId"	0	2990
"dbo_R_RIALtO_frmQOL_eq5d.VisitCycleNumber"	0	2990
"dbo_R_RIALtO_frmQOL_eq5d.CRFPageId"	0	2990
"dbo_R_RIALtO_frmQOL_eq5d.CRFPageCycleNumber"	0	2990
"dbo_R_RIALtO_frmQOL_eq5d.HospitalSite"	3	2990
"dbo_R_RIALtO_frmQOL_eq5d.PatientNo"	3	2990
"dbo_R_RIALtO_frmQOL_eq5d.PatInitials"	3	2990
"dbo_R_RIALtO_frmQOL_eq5d.FUweek"	2665	2990
"dbo_R_RIALtO_frmQOL_eq5d.EQ5DMobility"	123	2990
"dbo_R_RIALtO_frmQOL_eq5d.EQ5DSelf_care"	130	2990
"dbo_R_RIALtO_frmQOL_eq5d.EQ5DActivities"	124	2990
"dbo_R_RIALtO_frmQOL_eq5d.EQ5DPain_disc"	119	2990
"dbo_R_RIALtO_frmQOL_eq5d.EQ5DAnxiety"	129	2990
"dbo_R_RIALtO_frmQOL_eq5d.EQ5DHealthState"	173	2990
"dbo_R_RIALtO_frmQOL_eqvas.ClinicalTrialId"	0	254
"dbo_R_RIALtO_frmQOL_eqvas.Site"	0	254
"dbo_R_RIALtO_frmQOL_eqvas.PersonId"	0	254
"dbo_R_RIALtO_frmQOL_eqvas.VisitId"	0	254
"dbo_R_RIALtO_frmQOL_eqvas.VisitCycleNumber"	0	254
"dbo_R_RIALtO_frmQOL_eqvas.CRFPageId"	0	254
"dbo_R_RIALtO_frmQOL_eqvas.CRFPageCycleNumber"	0	254
"dbo_R_RIALtO_frmQOL_eqvas.HospitalSite"	0	254
"dbo_R_RIALtO_frmQOL_eqvas.PatientNo"	0	254
"dbo_R_RIALtO_frmQOL_eqvas.PatInitials"	0	254
"dbo_R_RIALtO_frmQOL_eqvas.FUweek"	249	254
"dbo_R_RIALtO_frmQOL_eqvas.eqvas_date"	147	254
"dbo_R_RIALtO_frmQOL_eqvas.health_state"	145	254
"dbo_R_RIALtO_frmQOL_eqvas.CompBy"	254	254
"dbo_R_RIALtO_frmQOL_eqvas.CompSigned"	254	254
"dbo_R_RIALtO_frmQOL_eqvas.CompDate"	254	254
"dbo_R_RIALtO_frmQOL_GFI.ClinicalTrialId"	0	631
"dbo_R_RIALtO_frmQOL_GFI.Site"	0	631
"dbo_R_RIALtO_frmQOL_GFI.PersonId"	0	631
"dbo_R_RIALtO_frmQOL_GFI.VisitId"	0	631
"dbo_R_RIALtO_frmQOL_GFI.VisitCycleNumber"	0	631
"dbo_R_RIALtO_frmQOL_GFI.CRFPageId"	0	631
"dbo_R_RIALtO_frmQOL_GFI.CRFPageCycleNumber"	0	631
"dbo_R_RIALtO_frmQOL_GFI.HospitalSite"	5	631
"dbo_R_RIALtO_frmQOL_GFI.PatientNo"	5	631
"dbo_R_RIALtO_frmQOL_GFI.PatInitials"	5	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFIShop"	21	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFIWalk"	17	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFIUndressed"	16	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFIRestRoom"	21	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFIVision"	25	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFIHearing"	18	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFINutrition"	23	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFIComorbity"	30	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFICognition"	20	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFIPSEmpty"	27	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFIPSpresence"	18	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFIPSalone"	17	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFIPSdepressd"	20	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFIPSnervous"	18	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFIPHfitness"	42	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFITotal"	275	631
"dbo_R_RIALtO_frmQOL_GFI.QLGFITotalCalc"	5	631
"dbo_R_RIALtO_frmQOL_GFI.CompSigned"	621	631
"dbo_R_RIALtO_frmQOL_GFI.CompDate"	622	631
"dbo_R_RIALtO_frmQOL_TuaG.ClinicalTrialId"	0	591
"dbo_R_RIALtO_frmQOL_TuaG.Site"	0	591
"dbo_R_RIALtO_frmQOL_TuaG.PersonId"	0	591
"dbo_R_RIALtO_frmQOL_TuaG.VisitId"	0	591
"dbo_R_RIALtO_frmQOL_TuaG.VisitCycleNumber"	0	591
"dbo_R_RIALtO_frmQOL_TuaG.CRFPageId"	0	591
"dbo_R_RIALtO_frmQOL_TuaG.CRFPageCycleNumber"	0	591
"dbo_R_RIALtO_frmQOL_TuaG.HospitalSite"	4	591
"dbo_R_RIALtO_frmQOL_TuaG.PatientNo"	4	591
"dbo_R_RIALtO_frmQOL_TuaG.PatInitials"	4	591
"dbo_R_RIALtO_frmQOL_TuaG.CompletedTest"	11	591
"dbo_R_RIALtO_frmQOL_TuaG.QLTUTime1"	31	591
"dbo_R_RIALtO_frmQOL_TuaG.QLTUTime2"	38	591
"dbo_R_RIALtO_frmQOL_TuaG.RsnNotCompleted"	581	591
"dbo_R_RIALtO_frmQOL_TuaG.CompSigned"	24	591
"dbo_R_RIALtO_frmQOL_TuaG.CompDate"	38	591
"dbo_R_RIALtO_frmQOL_VES13.ClinicalTrialId"	0	637
"dbo_R_RIALtO_frmQOL_VES13.Site"	0	637
"dbo_R_RIALtO_frmQOL_VES13.PersonId"	0	637
"dbo_R_RIALtO_frmQOL_VES13.VisitId"	0	637
"dbo_R_RIALtO_frmQOL_VES13.VisitCycleNumber"	0	637
"dbo_R_RIALtO_frmQOL_VES13.CRFPageId"	0	637
"dbo_R_RIALtO_frmQOL_VES13.CRFPageCycleNumber"	0	637
"dbo_R_RIALtO_frmQOL_VES13.HospitalSite"	3	637
"dbo_R_RIALtO_frmQOL_VES13.PatientNo"	3	637
"dbo_R_RIALtO_frmQOL_VES13.PatInitials"	3	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESAge"	22	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESHealth"	24	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESStoop"	5	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESLift"	8	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESReach"	5	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESWriting"	8	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESWalking"	7	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESHousework"	15	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESShop"	91	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESHelpShop"	542	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESShpDueHlth"	623	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESMoney"	91	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESHelpMoney"	596	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESMnyDueHlth"	626	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESWalk"	105	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESHelpWalk"	604	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESWlkDueHlth"	637	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESLightHwk"	106	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESHlpLghtHwk"	594	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESHwkDueHlth"	626	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESBath"	108	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESBathHelp"	594	637
"dbo_R_RIALtO_frmQOL_VES13.QLVESBthDueHlth"	636	637
"dbo_R_RIALtO_frmQOLCll16_qgQOL4Wks.ClinicalTrialId"	0	11378
"dbo_R_RIALtO_frmQOLCll16_qgQOL4Wks.Site"	0	11378
"dbo_R_RIALtO_frmQOLCll16_qgQOL4Wks.PersonId"	0	11378
"dbo_R_RIALtO_frmQOLCll16_qgQOL4Wks.VisitId"	0	11378
"dbo_R_RIALtO_frmQOLCll16_qgQOL4Wks.VisitCycleNumber"	0	11378
"dbo_R_RIALtO_frmQOLCll16_qgQOL4Wks.CRFPageId"	0	11378
"dbo_R_RIALtO_frmQOLCll16_qgQOL4Wks.CRFPageCycleNumber"	0	11378
"dbo_R_RIALtO_frmQOLCll16_qgQOL4Wks.OwnerQGroupID"	0	11378
"dbo_R_RIALtO_frmQOLCll16_qgQOL4Wks.RepeatNumber"	0	11378
"dbo_R_RIALtO_frmQOLCll16_qgQOL4Wks.FourWkQNo"	68	11378
"dbo_R_RIALtO_frmQOLCll16_qgQOL4Wks.FourWkQtxt"	68	11378
"dbo_R_RIALtO_frmQOLCll16_qgQOL4Wks.FourWkAns"	583	11378
"dbo_R_RIALtO_frmQOLCll16_qgQOLLastWk.ClinicalTrialId"	0	34338
"dbo_R_RIALtO_frmQOLCll16_qgQOLLastWk.Site"	0	34338
"dbo_R_RIALtO_frmQOLCll16_qgQOLLastWk.PersonId"	0	34338
"dbo_R_RIALtO_frmQOLCll16_qgQOLLastWk.VisitId"	0	34338
"dbo_R_RIALtO_frmQOLCll16_qgQOLLastWk.VisitCycleNumber"	0	34338
"dbo_R_RIALtO_frmQOLCll16_qgQOLLastWk.CRFPageId"	0	34338
"dbo_R_RIALtO_frmQOLCll16_qgQOLLastWk.CRFPageCycleNumber"	0	34338
"dbo_R_RIALtO_frmQOLCll16_qgQOLLastWk.OwnerQGroupID"	0	34338
"dbo_R_RIALtO_frmQOLCll16_qgQOLLastWk.RepeatNumber"	0	34338
"dbo_R_RIALtO_frmQOLCll16_qgQOLLastWk.LastWkQNo"	204	34338
"dbo_R_RIALtO_frmQOLCll16_qgQOLLastWk.LastWkQtxt"	204	34338
"dbo_R_RIALtO_frmQOLCll16_qgQOLLastWk.LastWkAns"	2033	34338
"dbo_R_RIALtO_frmQOLCll16.ClinicalTrialId"	0	2870
"dbo_R_RIALtO_frmQOLCll16.Site"	0	2870
"dbo_R_RIALtO_frmQOLCll16.PersonId"	0	2870
"dbo_R_RIALtO_frmQOLCll16.VisitId"	0	2870
"dbo_R_RIALtO_frmQOLCll16.VisitCycleNumber"	0	2870
"dbo_R_RIALtO_frmQOLCll16.CRFPageId"	0	2870
"dbo_R_RIALtO_frmQOLCll16.CRFPageCycleNumber"	0	2870
"dbo_R_RIALtO_frmQOLCll16.CompBy"	2870	2870
